Time,Phase 1 [0] Score,Phase 4 [1] Score,Waiting Time,Queue Lengths,Number of Vehicles Exited the Intersection
214,344.0,534.0,1172.0,50,162
215,352.5,559.0,1216.0,48,164
216,362.0,584.0,1260.0,48,164
217,372.0,609.0,1304.0,49,165
218,364.0,634.0,1315.0,47,165
219,355.5,659.0,1324.0,46,166
220,348.5,684.0,1334.0,47,168
221,340.5,709.0,1343.0,47,168
222,332.0,734.0,1352.0,46,169
223,324.0,759.0,1360.0,47,169
224,315.5,784.0,1368.0,47,170
225,322.0,713.0,1312.0,45,170
226,329.5,643.0,1256.0,46,170
227,337.0,572.0,1200.0,46,173
228,344.5,501.0,1145.0,45,173
229,353.0,429.0,1090.0,45,173
230,361.5,362.0,1040.0,45,173
231,313.0,301.0,882.0,45,174
232,225.0,243.0,647.0,46,175
233,215.0,223.0,606.0,47,175
234,222.5,199.0,597.0,47,175
235,231.5,148.0,563.0,48,175
236,240.5,93.0,528.0,46,176
237,250.5,45.0,500.0,46,176
238,261.5,22.0,499.0,46,176
239,272.0,21.0,520.0,45,176
240,283.0,22.0,543.0,45,176
241,295.0,23.0,567.0,46,176
242,306.5,23.0,591.0,45,177
243,318.5,16.0,609.0,44,178
244,331.5,16.0,634.0,45,178
245,344.0,16.0,659.0,45,180
246,356.5,15.0,684.0,44,181
247,369.5,15.0,709.0,45,181
248,383.0,16.0,736.0,46,182
249,396.5,15.0,763.0,45,184
250,410.5,14.0,790.0,45,184
251,424.0,15.0,817.0,46,184
252,437.5,13.0,844.0,44,184
253,452.0,13.0,872.0,45,186
254,466.5,13.0,901.0,45,186
255,481.0,13.0,930.0,45,187
256,496.0,13.0,959.0,46,188
257,510.5,11.0,988.0,44,188
258,526.0,12.0,1018.0,46,189
259,541.0,12.0,1048.0,46,191
260,556.0,11.0,1078.0,45,191
261,571.0,12.0,1108.0,46,191
262,586.5,10.0,1138.0,45,193
263,602.0,10.0,1169.0,45,193
264,618.0,10.0,1201.0,45,194
265,635.0,9.0,1234.0,45,194
266,651.5,9.0,1267.0,45,196
267,668.0,9.0,1300.0,45,197
268,685.0,10.0,1333.0,47,198
269,702.0,11.0,1368.0,47,199
270,638.0,12.0,1244.0,44,199
271,578.5,16.0,1128.0,45,199
272,537.5,19.0,1049.0,45,201
273,497.0,23.0,974.0,43,201
274,461.5,29.0,908.0,44,201
275,430.5,37.0,854.0,44,203
276,401.5,45.0,804.0,44,204
277,377.0,53.0,762.0,45,204
278,355.5,63.0,730.0,44,204
279,335.5,73.0,700.0,44,205
280,339.5,83.0,719.0,43,207
281,344.5,94.0,739.0,44,207
282,349.0,105.0,759.0,44,210
283,354.0,115.0,780.0,43,210
284,296.0,126.0,676.0,42,212
285,239.5,140.0,578.0,41,212
286,185.0,153.0,481.0,42,213
287,144.0,166.0,413.0,41,215
288,42.5,180.0,223.0,42,215
289,48.0,195.0,247.0,44,217
290,54.5,209.0,274.0,44,219
291,60.5,223.0,301.0,43,219
292,68.0,240.0,331.0,45,220
293,75.5,256.0,362.0,45,221
294,81.0,273.0,388.0,47,221
295,87.5,291.0,418.0,48,222
296,90.5,310.0,444.0,47,222
297,97.0,329.0,476.0,47,223
298,103.0,349.0,508.0,47,223
299,109.0,369.0,541.0,46,224
300,116.0,389.0,574.0,47,225
301,121.5,411.0,608.0,46,225
302,128.0,434.0,643.0,47,225
303,135.0,456.0,678.0,48,226
304,126.0,478.0,684.0,46,228
305,118.0,501.0,691.0,46,229
306,109.0,524.0,697.0,45,230
307,100.5,548.0,704.0,45,231
308,92.0,573.0,712.0,45,233
309,83.0,598.0,720.0,44,233
310,75.0,623.0,728.0,45,234
311,67.5,648.0,738.0,45,235
